tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
535,1/1/2016 0:29,1/1/2016 0:38,499,Broadway & W 60 St,40.76915505,-73.98191841,449,W 52 St & 9 Ave,40.76461837,-73.98789473,20988,Subscriber,1975,1
2509,1/1/2016 0:29,1/1/2016 1:11,3165,Central Park West & W 72 St,40.77579377,-73.97620574,495,W 47 St & 10 Ave,40.76269882,-73.99301222,21673,Customer,,0
637,1/1/2016 0:29,1/1/2016 0:40,312,Allen St & E Houston St,40.722055,-73.989111,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,24032,Customer,,0
631,1/1/2016 0:29,1/1/2016 0:40,312,Allen St & E Houston St,40.722055,-73.989111,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,18973,Customer,,0
718,1/1/2016 0:29,1/1/2016 0:41,449,W 52 St & 9 Ave,40.76461837,-73.98789473,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,16819,Subscriber,1972,2
1508,1/1/2016 0:30,1/1/2016 0:55,527,E 33 St & 2 Ave,40.744023,-73.976056,524,W 43 St & 6 Ave,40.75527307,-73.98316936,17509,Customer,,0
494,1/1/2016 0:30,1/1/2016 0:38,499,Broadway & W 60 St,40.76915505,-73.98191841,449,W 52 St & 9 Ave,40.76461837,-73.98789473,22475,Subscriber,1970,2
1493,1/1/2016 0:30,1/1/2016 0:55,527,E 33 St & 2 Ave,40.744023,-73.976056,524,W 43 St & 6 Ave,40.75527307,-73.98316936,16167,Customer,,0
356,1/1/2016 0:30,1/1/2016 0:36,332,Cherry St,40.71219906,-73.97948148,410,Suffolk St & Stanton St,40.72066442,-73.98517977,23362,Subscriber,1966,1
2467,1/1/2016 0:30,1/1/2016 1:11,3165,Central Park West & W 72 St,40.77579377,-73.97620574,495,W 47 St & 10 Ave,40.76269882,-73.99301222,20983,Customer,,0
431,1/1/2016 0:30,1/1/2016 0:37,387,Centre St & Chambers St,40.71273266,-74.0046073,412,Forsyth St & Canal St,40.7158155,-73.99422366,21507,Subscriber,1981,1
255,1/1/2016 0:30,1/1/2016 0:35,445,E 10 St & Avenue A,40.72740794,-73.98142006,433,E 13 St & Avenue A,40.72955361,-73.98057249,23410,Subscriber,1982,2
224,1/1/2016 0:30,1/1/2016 0:34,247,Perry St & Bleecker St,40.73535398,-74.00483091,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,14905,Subscriber,1975,1
738,1/1/2016 0:30,1/1/2016 0:43,3177,W 84 St & Broadway,40.7867947,-73.977112,449,W 52 St & 9 Ave,40.76461837,-73.98789473,22056,Subscriber,1991,1
367,1/1/2016 0:31,1/1/2016 0:37,445,E 10 St & Avenue A,40.72740794,-73.98142006,433,E 13 St & Avenue A,40.72955361,-73.98057249,22955,Subscriber,1977,1
563,1/1/2016 0:31,1/1/2016 0:40,405,Washington St & Gansevoort St,40.739323,-74.008119,489,10 Ave & W 28 St,40.75066386,-74.00176802,19020,Subscriber,1974,2
512,1/1/2016 0:31,1/1/2016 0:40,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,482,W 15 St & 7 Ave,40.73935542,-73.99931783,22158,Subscriber,1980,1
598,1/1/2016 0:31,1/1/2016 0:41,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,490,8 Ave & W 33 St,40.751551,-73.993934,23556,Customer,,0
598,1/1/2016 0:31,1/1/2016 0:41,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,490,8 Ave & W 33 St,40.751551,-73.993934,24311,Customer,,0
592,1/1/2016 0:31,1/1/2016 0:41,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,490,8 Ave & W 33 St,40.751551,-73.993934,21435,Customer,,0
567,1/1/2016 0:31,1/1/2016 0:41,127,Barrow St & Hudson St,40.73172428,-74.00674436,509,9 Ave & W 22 St,40.7454973,-74.00197139,19050,Subscriber,1968,1
1324,1/1/2016 0:32,1/1/2016 0:54,515,W 43 St & 10 Ave,40.76009437,-73.99461843,482,W 15 St & 7 Ave,40.73935542,-73.99931783,17594,Subscriber,1970,1
1160,1/1/2016 0:32,1/1/2016 0:51,3147,E 85 St & 3 Ave,40.77801203,-73.95407149,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,18983,Subscriber,1983,2
315,1/1/2016 0:33,1/1/2016 0:38,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,14536,Subscriber,1971,1
